cpubid	momid	nonwhite	mage	mom_grade	momtest	csex2	childage	year2	year3	year4	year5	year6	year7	year8	year9	year10	year11	year12	year13	year14	year15	spouse_yn	spouse_age	spouse_grade	family_size	hincome	test_pcntl
938205	9382	1	46	5	4	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	64
208302	2083	0	41	16	92	1	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	40	12	1.60944	0	91
537301	5373	0	35	16	92	1	9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	36	20	1.60944	0	92
469003	4690	0	33	12	80	1	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	34	12	1.79176	0	98
116004	1160	1	38	14	26	1	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	41	16	1.79176	0	77
298302	2983	0	37	12	10	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	38	15	1.38629	0	71
457001	4570	0	27	14	77	1	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.38629	0	58
97901	979	0	28	12	38	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09861	0	22
463104	4631	0	45	16	88	1	7	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	49	16	1.79176	0	58
501901	5019	0	39	16	96	0	9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	41	20	1.38629	0	98
342602	3426	0	37	16	87	0	8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	38	16	1.60944	0	52
588001	5880	1	27	3	1	1	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40	3	1.09861	0	24
814002	8140	1	27	11	12	1	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.693147	0	80
651602	6516	1	29	11	7	1	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.79176	0	38
651601	6516	1	29	11	7	1	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.79176	0	27
674401	6744	1	29	12	15	1	11	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09861	0	25
674402	6744	1	29	12	15	0	9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09861	0	73
1179803	11798	1	37	15	39	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1.38629	0	28
826904	8269	1	42	12	3	1	8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	41	12	2.3979	0	50
750104	7501	1	34	11	21	1	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.60944	0	38
122704	1227	1	36	11	2	0	8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.60944	0	10
343602	3436	1	38	6	1	0	11	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	39	6	1.79176	0	64
1018402	10184	1	28	11	1	0	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09861	0	65
205404	2054	0	39	7	6	0	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1.60944	0	11
78301	783	1	28	95	29	0	11	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60
141603	1416	0	29	9	14	0	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.38629	0	10
468401	4684	0	40	13	62	0	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	40	16	1.38629	0	69
277802	2778	0	37	9	6	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1.09861	0	88
138901	1389	1	30	16	37	1	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	27	12	1.38629	0	96
417701	4177	0	24	7	3	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.693147	0	54
39701	397	1	26	9	3	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09861	0	26
616903	6169	1	26	13	4	0	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.30259	0	4
616902	6169	1	26	13	4	1	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.30259	0	11
84001	840	1	27	10	1	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.693147	0	7
143901	1439	1	36	14	5	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	.693147	0	60
420304	4203	1	37	12	13	0	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1.79176	0	71
241001	2410	0	31	12	31	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	35	13	1.38629	0	82
151902	1519	1	31	12	41	1	9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09861	0	10
165003	1650	1	35	12	10	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	39	12	2.07944	0	99
1033201	10332	1	31	11	9	1	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09861	0	47
39501	395	1	29	14	37	1	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09861	0	69
122001	1220	1	26	12	4	1	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09861	0	68
627502	6275	1	46	12	14	0	11	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	.693147	0	16
461802	4618	0	32	12	11	0	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.693147	0	43
745902	7459	1	38	9	13	1	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1.60944	0	62
745901	7459	1	38	9	13	0	12	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1.60944	0	68
616101	6161	1	27	12	22	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.693147	0	58
473002	4730	0	26	11	39	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.38629	0	50
473001	4730	0	26	11	39	0	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.38629	0	25
540802	5408	0	31	13	37	0	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.38629	0	36
588804	5888	1	45	12	33	0	13	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1.09861	0	23
666601	6666	1	34	12	7	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.38629	0	82
154902	1549	0	31	12	25	1	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.60944	0	64
398201	3982	0	27	12	25	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.38629	0	38
438301	4383	0	29	14	32	0	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09861	0	58
600203	6002	1	36	12	4	1	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1.38629	0	21
1018802	10188	1	40	14	10	1	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1.38629	0	58
1183201	11832	1	26	13	6	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.693147	0	78
1228201	12282	1	27	12	29	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.38629	0	54
1219108	12191	1	38	10	8	0	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2.19722	0	44
611402	6114	1	35	15	9	1	8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.60944	0	11
864102	8641	1	34	12	10	0	12	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	.693147	0	35
359402	3594	0	35	12	31	0	8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.38629	0	92
399601	3996	1	27	12	5	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09861	0	82
726311	7263	1	48	10	6	1	10	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	.693147	0	19
355501	3555	0	37	12	37	0	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.09861	0	60
109001	1090	0	24	9	12	1	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.60944	0	50
137001	1370	0	33	12	9	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1.38629	0	60
