test_pcntl	year2	year3	year4	year5	year6	year7	year8	year9	year10	year11	year12	year13	year14	year15	momrace1	momrace2	mage	mom_grade	momtest	spouse_yn	spouse_age	spouse_grade	csex2	childage	family_size	fincome	cpubid	momid
64	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	46	5	4	0	0	0	0	6	0	-6.949546477	938205	9382
91	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	41	16	92	1	40	12	1	8	1.60944	-6.445405852	208302	2083
92	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	35	16	92	1	36	20	1	9	1.60944	-6.224943291	537301	5373
98	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	33	12	80	1	34	12	1	7	1.79176	-5.490974116	469003	4690
77	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	38	14	26	1	41	16	1	7	1.79176	-4.975441139	116004	1160
71	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	37	12	10	1	38	15	0	6	1.38629	-4.821290459	298302	2983
58	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	14	77	0	0	0	1	8	1.38629	-3.921977367	457001	4570
22	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	12	38	0	0	0	0	7	1.09861	-3.822296521	97901	979
58	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	45	16	88	1	49	16	1	7	1.79176	-3.605751974	463104	4631
98	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	39	16	96	1	41	20	0	9	1.38629	-3.504579868	501901	5019
52	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	37	16	87	1	38	16	0	8	1.60944	-3.504579868	342602	3426
24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	27	3	1	1	40	3	1	12	1.09861	-3.409439092	588001	5880
80	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	27	11	12	0	0	0	1	7	.693147	-3.129149341	814002	8140
27	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	29	11	7	0	0	0	1	9	1.79176	-2.59265597	651601	6516
38	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	29	11	7	0	0	0	1	7	1.79176	-2.59265597	651602	6516
25	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	29	12	15	0	0	0	1	11	1.09861	-2.550651542	674401	6744
73	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	29	12	15	0	0	0	0	9	1.09861	-2.550651542	674402	6744
28	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	37	15	39	0	0	0	0	7	1.38629	-2.533382847	1179803	11798
50	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	42	12	3	1	41	12	1	8	2.3979	-2.498526971	826904	8269
38	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	34	11	21	0	0	0	1	7	1.60944	-2.442206705	750104	7501
10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	36	11	2	0	0	0	0	8	1.60944	-2.438198684	122704	1227
64	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	38	6	1	1	39	6	0	11	1.79176	-2.438072667	343602	3436
65	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	28	11	1	0	0	0	0	9	1.09861	-2.212858609	1018402	10184
11	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	39	7	6	0	0	0	0	8	1.60944	-2.063379218	205404	2054
60	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	28	95	29	0	0	0	0	11	0	-1.913411993	78301	783
10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	9	14	0	0	0	0	8	1.38629	-1.872995033	141603	1416
88	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	37	9	6	0	0	0	0	6	1.09861	-1.840235666	277802	2778
69	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	40	13	62	1	40	16	0	8	1.38629	-1.840235666	468401	4684
96	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	30	16	37	1	27	12	1	6	1.38629	-1.828433112	138901	1389
54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	7	3	0	0	0	1	7	.693147	-1.80000118	417701	4177
26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	26	9	3	0	0	0	1	10	1.09861	-1.771830303	39701	397
11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	26	13	4	0	0	0	1	8	2.30259	-1.74285498	616902	6169
4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	26	13	4	0	0	0	0	9	2.30259	-1.74285498	616903	6169
7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	27	10	1	0	0	0	1	9	.693147	-1.731008308	84001	840
60	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	36	14	5	0	0	0	0	7	.693147	-1.719789513	143901	1439
71	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	37	12	13	0	0	0	0	7	1.79176	-1.712820399	420304	4203
82	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	31	12	31	1	35	13	0	6	1.38629	-1.690268442	241001	2410
10	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	31	12	41	0	0	0	1	9	1.09861	-1.690268442	151902	1519
99	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	35	12	10	1	39	12	0	6	2.07944	-1.609123945	165003	1650
47	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	31	11	9	0	0	0	1	6	1.09861	-1.564398003	1033201	10332
69	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	29	14	37	0	0	0	1	8	1.09861	-1.559240179	39501	395
68	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	26	12	4	0	0	0	1	6	1.09861	-1.524082094	122001	1220
16	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	46	12	14	0	0	0	0	11	.693147	-1.522148007	627502	6275
43	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	32	12	11	0	0	0	0	8	.693147	-1.507946885	461802	4618
62	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	38	9	13	0	0	0	1	8	1.60944	-1.50376343	745902	7459
68	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	38	9	13	0	0	0	0	12	1.60944	-1.50376343	745901	7459
58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	27	12	22	0	0	0	0	8	.693147	-1.443326236	616101	6161
25	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	11	39	0	0	0	0	8	1.38629	-1.437070717	473001	4730
50	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	11	39	0	0	0	0	7	1.38629	-1.437070717	473002	4730
36	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	31	13	37	0	0	0	0	7	1.38629	-1.396629554	540802	5408
23	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	45	12	33	0	0	0	0	13	1.09861	-1.359629078	588804	5888
82	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	34	12	7	0	0	0	0	6	1.38629	-1.35484802	666601	6666
64	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	31	12	25	0	0	0	1	8	1.60944	-1.353796205	154902	1549
