"C0000100","C0000200","C0005300","C0005400","C0005500","C0005700","C0005701","C0005702","C0007000","C0054101","C0057501","C0058701","C0059901","C0061100","C0061112","C0061116","C0061120","C0061122","C0061124","C0061126","C0061128","C0061130","C0061132","C0093100","C0093110","C0093200","C0093800","C0099300","C0099310","C0099400","C0100000","C0105500","C0105510","C0105600","C0106200","C0111700","C0111710","C0111800","C0112400","C0119400","C0120000","C0120010","C0120100","C0125800","C0126400","C0126500","C0126600","C0127617","C0127623","C0127624","C0127625","C0127917","C0127923","C0127924","C0127925","C0128017","C0128023","C0128024","C0128025","C0580600","C0800100","C0999300","C1199300","C1508300","C1565200","C1800600","C1988000","C1988500","C1988600","C1988700","C2494000","C2494500","C2494600","C2494700","C2504200","C2521800","C2522300","C2522400","C2522500","C2532700","C2792300","C2792800","C2792900","C2793000","C2803500","C3101800","C3102300","C3102400","C3102500","C3112000","C3602400","C3604100","C3604600","C3604700","C3604800","C3615700","C3982400","C3984100","C3984600","C3984700","C3984800","C3994300","C5526200","C5528000","C5528500","C5528600","C5528700","C5538300","C5802500","C5804300","C5804800","C5804900","C5805000","C5814100","Y2267000","Y3299900"
201,2,3,2,3,1993,-7,-7,34,9,9,9,12,12,12,12,12,12,12,12,12,12,12,0,-7,-7,5,0,-7,-7,5,0,-7,-7,5,0,-7,-7,5,1,0,-7,-7,1,0,-7,-7,3,1,45,9,4,1,47,9,5,1,49,9,-7,-7,-7,-7,-7,-7,-7,5,1,51,9,5,1,53,9,70,5,1,55,9,15,5,1,57,9,28,4,1,59,9,-3,13,4,1,61,9,-7,13,4,1,63,9,-7,13,3,1,66,9,-7,13,4,1,69,9,-7,512,-7
202,2,3,2,11,1994,-7,-7,35,9,9,9,12,12,12,12,12,12,12,12,12,12,12,0,-7,-7,5,0,-7,-7,5,0,-7,-7,5,0,-7,-7,5,1,0,-7,-7,1,0,-7,-7,3,1,45,9,4,1,47,9,5,1,49,9,-7,-7,-7,-7,-7,-7,-7,5,1,51,9,5,1,53,9,-7,5,1,55,9,72,5,1,57,9,59,4,1,59,9,-3,13,4,1,61,9,-3,13,4,1,63,9,-7,13,3,1,66,9,-7,13,4,1,69,9,-7,512,-7
301,3,3,2,6,1981,-7,-7,19,10,10,10,10,10,10,10,13,13,13,13,13,-7,13,0,-7,-7,1,1,21,12,3,1,23,12,4,1,25,12,4,5,1,27,12,5,1,30,12,5,1,31,12,5,1,34,12,5,1,35,12,-7,87,-3,51,58,-7,-7,5,1,37,12,3,1,39,13,-7,4,1,41,13,-7,-7,-7,-7,-7,-7,2,1,45,13,-7,12,2,1,48,13,-7,-7,-7,-7,-7,-7,-7,12,2,1,52,13,-7,12,2,1,55,13,-7,512,-7
302,3,3,2,10,1983,-7,-7,22,10,10,10,10,10,10,10,13,13,13,13,13,-7,13,0,-7,-7,1,1,21,12,3,1,23,12,4,1,25,12,4,5,1,27,12,5,1,30,12,5,1,31,12,5,1,34,12,5,1,35,12,-7,-7,-3,65,55,39,-7,5,1,37,12,3,1,39,13,-7,4,1,41,13,-7,-7,-7,-7,-7,-7,2,1,45,13,-7,12,2,1,48,13,-7,-7,-7,-7,-7,-7,-7,12,2,1,52,13,-7,12,2,1,55,13,-7,512,-7
303,3,3,2,4,1986,-7,-7,24,10,10,10,10,10,10,10,13,13,13,13,13,-7,13,0,-7,-7,1,1,21,12,3,1,23,12,4,1,25,12,4,5,1,27,12,5,1,30,12,5,1,31,12,5,1,34,12,5,1,35,12,-7,-7,-7,-7,7,2,6,5,1,37,12,3,1,39,13,6,4,1,41,13,-7,-7,-7,-7,-7,-7,2,1,45,13,-7,12,2,1,48,13,-7,-7,-7,-7,-7,-7,-7,12,2,1,52,13,-7,12,2,1,55,13,-7,512,-7
401,4,3,1,8,1980,-7,-7,18,-7,9,13,14,14,14,14,-7,14,14,-7,-7,-7,-7,-7,-7,-7,-7,1,24,12,3,0,-7,-7,2,0,-7,-7,2,2,0,-7,-7,2,0,-7,-7,2,0,-7,-7,-7,-7,-7,-7,3,1,33,13,-7,-3,75,-7,-7,-7,-7,4,1,36,13,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,512,-7
403,4,3,2,3,1997,-7,-7,34,-7,9,13,14,14,14,14,-7,14,14,-7,-7,-7,-7,-7,-7,-7,-7,1,24,12,3,0,-7,-7,2,0,-7,-7,2,2,0,-7,-7,2,0,-7,-7,2,0,-7,-7,-7,-7,-7,-7,3,1,33,13,-7,-7,-7,-7,-7,-7,-7,4,1,36,13,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,512,-7
801,8,3,2,3,1976,-7,-7,17,12,12,12,12,12,12,12,12,12,13,13,14,14,14,1,23,12,4,1,25,12,4,1,27,12,5,1,29,12,5,4,0,-7,-7,4,0,-7,-7,4,0,-7,-7,3,0,-7,-7,3,0,-7,-7,90,80,46,41,-7,-7,-7,3,0,-7,-7,5,0,-7,-7,-7,2,0,-7,-7,-7,3,0,-7,-7,-7,1,0,-7,-7,-7,14,2,1,49,12,-7,14,2,1,51,12,-7,14,3,1,54,12,-7,14,2,1,57,12,-7,512,-7
802,8,3,1,5,1979,-7,-7,20,12,12,12,12,12,12,12,12,12,13,13,14,14,14,1,23,12,4,1,25,12,4,1,27,12,5,1,29,12,5,4,0,-7,-7,4,0,-7,-7,4,0,-7,-7,3,0,-7,-7,3,0,-7,-7,60,83,81,32,-7,-7,-7,3,0,-7,-7,5,0,-7,-7,-7,2,0,-7,-7,-7,3,0,-7,-7,-7,1,0,-7,-7,-7,14,2,1,49,12,-7,14,2,1,51,12,-7,14,3,1,54,12,-7,14,2,1,57,12,-7,512,-7
803,8,3,2,9,1982,-7,-7,24,12,12,12,12,12,12,12,12,12,13,13,14,14,14,1,23,12,4,1,25,12,4,1,27,12,5,1,29,12,5,4,0,-7,-7,4,0,-7,-7,4,0,-7,-7,3,0,-7,-7,3,0,-7,-7,-7,94,80,77,33,36,-7,3,0,-7,-7,5,0,-7,-7,-7,2,0,-7,-7,-7,3,0,-7,-7,-7,1,0,-7,-7,-7,14,2,1,49,12,-7,14,2,1,51,12,-7,14,3,1,54,12,-7,14,2,1,57,12,-7,512,-7
