
="",="(1)",="(2)"
="",="test_pcntl",="test_pcntl"

="year2_sim0",="-10.30***",="-4.293***"
="",="(-9.28)",="(-3.95)"

="year3_sim0",="-14.22***",="-6.824***"
="",="(-11.86)",="(-6.09)"

="year4_sim0",="-12.15***",="-3.549**"
="",="(-9.36)",="(-3.16)"

="year5_sim0",="-13.64***",="-4.506***"
="",="(-9.64)",="(-4.08)"

="year6_sim0",="-9.514***",="-0.943"
="",="(-5.60)",="(-0.75)"

="year7_sim0",="-9.927***",="-1.195"
="",="(-5.64)",="(-1.06)"

="year8_sim0",="-9.925***",="1.786"
="",="(-4.74)",="(1.37)"

="year9_sim0",="-6.224**",="3.388**"
="",="(-2.76)",="(2.67)"

="year10_sim0",="-7.900**",="3.457*"
="",="(-3.12)",="(2.42)"

="year11_sim0",="-7.722**",="3.910*"
="",="(-2.72)",="(2.38)"

="year12_sim0",="-9.036**",="1.903"
="",="(-2.59)",="(0.84)"

="year13_sim0",="-7.272",="0.544"
="",="(-1.75)",="(0.18)"

="year14_sim0",="-16.03**",="-5.363"
="",="(-3.27)",="(-1.41)"

="year15_sim0",="-0.834",="7.379"
="",="(-0.08)",="(0.75)"

="momrace1_sim1",="-0.401",="-9.989***"
="",="(-0.51)",="(-13.94)"

="momrace2_sim1",="-0.423",="-11.06***"
="",="(-0.54)",="(-17.34)"

="mage_seq2",="0.0585",="0.00953"
="",="(0.42)",="(0.07)"

="mom_grade_seq2",="0.407***",="1.829***"
="",="(3.73)",="(19.29)"

="momtest_seq2",="0.213***",="0.290***"
="",="(14.66)",="(20.84)"

="spouse_yn_sim3",="-1.859",="1.356"
="",="(-0.74)",="(0.54)"

="spouse_age_sim3",="0.0898",="0.0275"
="",="(1.35)",="(0.42)"

="spouse_grade_sim3",="0.158*",="0.125"
="",="(2.29)",="(1.83)"

="csex2_seq4",="5.459***",="6.487***"
="",="(9.98)",="(11.88)"

="childage_seq4",="-5.674***",="-5.753***"
="",="(-30.32)",="(-30.79)"

="family_size_seq4",="-8.377***",="-8.290***"
="",="(-9.46)",="(-9.37)"

="fincome_seq4",="1.374***",="1.374***"
="",="(3.67)",="(3.67)"

="_cons",="57.80***",="57.80***"
="",="(211.93)",="(211.93)"

="N",="6550",="6550"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
