
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)"
="",="momrace1_sim1",="momrace2_sim1",="mage_seq2",="mom_grade_seq2",="momtest_seq2",="spouse_yn_sim3",="spouse_age_sim3",="spouse_grade_sim3",="csex2_seq4",="childage_seq4",="family_size_seq4",="fincome_seq4",="test_pcntl"

="year2_sim0_d",="0.0318",="-0.0764***",="1.111***",="0.207",="4.067***",="0.0195",="1.421",="0.344",="0.00151",="-0.813***",="-0.00938",="0.0921*",="-4.293***"
="",="(1.59)",="(-3.40)",="(10.90)",="(1.46)",="(4.21)",="(0.91)",="(1.80)",="(1.02)",="(0.06)",="(-11.31)",="(-0.62)",="(2.57)",="(-3.95)"

="year3_sim0_d",="0.0416*",="-0.127***",="2.577***",="0.610***",="5.057***",="0.0414",="2.713***",="0.854*",="0.0137",="-1.003***",="0.0605***",="0.231***",="-6.824***"
="",="(2.02)",="(-5.48)",="(24.50)",="(4.18)",="(5.08)",="(1.86)",="(3.34)",="(2.44)",="(0.54)",="(-13.52)",="(3.86)",="(6.24)",="(-6.09)"

="year4_sim0_d",="0.0537**",="-0.163***",="4.382***",="1.086***",="7.694***",="0.0624**",="4.026***",="1.854***",="0.0152",="-0.960***",="0.0252",="0.265***",="-3.549**"
="",="(2.60)",="(-7.03)",="(41.56)",="(7.42)",="(7.70)",="(2.80)",="(4.94)",="(5.29)",="(0.60)",="(-12.91)",="(1.61)",="(7.12)",="(-3.16)"

="year5_sim0_d",="0.0450*",="-0.191***",="6.193***",="1.342***",="10.80***",="0.119***",="7.389***",="2.202***",="-0.0250",="-0.933***",="0.0740***",="0.389***",="-4.506***"
="",="(2.21)",="(-8.35)",="(59.66)",="(9.31)",="(10.98)",="(5.43)",="(9.21)",="(6.39)",="(-1.00)",="(-12.74)",="(4.79)",="(10.63)",="(-4.08)"

="year6_sim0_d",="0.0384",="-0.161***",="8.296***",="1.747***",="13.50***",="0.0830***",="6.882***",="2.058***",="-0.0356",="-0.604***",="0.0274",="0.475***",="-0.943"
="",="(1.65)",="(-6.19)",="(70.12)",="(10.63)",="(12.04)",="(3.32)",="(7.53)",="(5.23)",="(-1.25)",="(-7.24)",="(1.56)",="(11.40)",="(-0.75)"

